id,plot,NDVI_d28,SAVI_d28,GNDVI_d28,MCARI1_d28,SR_d28,NDVI_d01,SAVI_d01,GNDVI_d01,MCARI1_d01,SR_d01,NDVI_d04,SAVI_d04,GNDVI_d04,MCARI1_d04,SR_d04,NDVI_d08,SAVI_d08,GNDVI_d08,MCARI1_d08,SR_d08,Class
20,14,0.778407902,1.16756637,0.674224063,16130.88569,9.135821164,0.755313395,1.132946923,0.697299858,30860.2305,7.87326676,0.731637783,1.097414594,0.648051446,15867.27075,6.888080205,0.723708922,1.085521285,0.659776335,15024.8446,6.503053949,0
21,152,0.792179028,1.188221289,0.674878481,16474.81567,9.773159218,0.77469772,1.162021207,0.695997127,28683.82416,8.377723095,0.734604353,1.101860343,0.647366323,14555.34758,6.843436119,0.716421915,1.074587932,0.647086992,13699.59957,6.280669446,1
22,161,0.772798694,1.159150797,0.667518138,15554.09084,8.657466623,0.739449301,1.109145089,0.686722647,23606.28735,7.23192341,0.737798831,1.106649107,0.669850568,14198.1964,7.042070149,0.772525867,1.15874476,0.702535446,16837.38576,8.234412038,0
23,143,0.82786736,1.241756375,0.70972484,18672.64233,11.79803884,0.794794779,1.192166114,0.729884381,31182.96132,9.5767133,0.748502481,1.122700356,0.682496316,13352.56397,7.330775026,0.732277502,1.098373354,0.661410248,15218.76265,6.658197196,1
24,151,0.780629798,1.17089877,0.66928309,16267.39971,9.090849672,0.769623855,1.15440863,0.704512791,27003.32987,8.296365057,0.735936404,1.10385452,0.664617366,14155.78558,6.889557345,0.725598992,1.088355542,0.658406922,15198.20938,6.479914582,1
25,144,0.821302179,1.231908641,0.719607432,18126.31908,11.07801389,0.77778533,1.166651844,0.735521789,28789.85974,8.737821365,0.716120312,1.074124311,0.679707954,11015.79735,6.296712585,0.71705268,1.075532105,0.67312725,13316.44953,6.203088364,1
26,153,0.799124063,1.198638613,0.686061824,16457.33288,9.995885932,0.77120839,1.156785478,0.711637983,28056.02379,8.394860129,0.737033074,1.105500116,0.65903062,14001.32688,6.912650135,0.726163813,1.089201629,0.651366869,14330.73005,6.505888915,1
27,141,0.817668078,1.226457818,0.700117488,18225.33486,10.6657208,0.787322619,1.180955991,0.729366181,27172.53268,8.921093379,0.7371529,1.10567806,0.675408882,13175.06404,6.901255651,0.724750727,1.087080418,0.658417524,14099.31712,6.472388219,1
28,142,0.823210479,1.234770576,0.70277584,18323.98614,11.21970683,0.767013331,1.150491067,0.713530584,25217.35139,8.275390166,0.72457949,1.086812564,0.671617068,11707.93465,6.607787552,0.724929057,1.087346321,0.658993474,14021.9872,6.454235626,1
29,154,0.769337897,1.15395847,0.667601679,14903.61002,8.520085832,0.736024576,1.104010979,0.686558569,25665.23265,7.079835145,0.698104734,1.047105158,0.63179049,11427.95703,5.806806217,0.705325489,1.057940872,0.651448032,12513.64135,5.973544082,1
